iter	Passed	Remaining
399	40854	57808
400	40970	57726
401	41092	57651
402	41189	57542
403	41282	57427
404	41387	57329
405	41499	57240
406	41623	57168
407	41742	57088
408	41834	56972
409	41932	56864
410	42020	56743
411	42112	56626
412	42212	56522
413	42319	56425
414	42405	56301
415	42500	56190
416	42616	56106
417	42714	55999
418	42829	55912
419	42920	55797
420	43035	55710
421	43124	55591
422	43243	55510
423	43340	55401
424	43435	55290
425	43530	55179
426	43632	55077
427	43768	55017
428	43881	54928
429	43975	54815
430	44094	54734
431	44204	54641
432	44304	54536
433	44410	54438
434	44499	54319
435	44594	54208
436	44693	54102
437	44783	53985
438	44874	53870
439	44997	53792
440	45118	53712
441	45217	53605
442	45314	53498
443	45431	53412
444	45545	53324
445	45641	53214
446	45735	53101
447	45821	52980
448	45942	52900
449	46060	52816
450	46158	52708
451	46262	52608
452	46363	52504
453	46472	52408
454	46573	52305
455	46667	52193
456	46762	52082
457	46865	51981
458	46973	51885
459	47104	51814
460	47222	51729
461	47333	51636
462	47440	51538
463	47537	51430
464	47646	51335
465	47762	51247
466	47871	51151
467	47980	51056
468	48079	50949
469	48179	50845
470	48279	50740
471	48385	50640
472	48485	50535
473	48578	50422
474	48683	50323
475	48811	50247
476	48911	50142
477	49021	50046
478	49116	49937
479	49217	49832
480	49334	49744
481	49445	49650
482	49550	49550
483	49673	49468
484	49789	49378
485	49911	49295
486	50006	49184
487	50082	49056
488	50169	48937
489	50260	48824
490	50372	48731
491	50489	48642
492	50591	48539
493	50692	48434
494	50808	48345
495	50921	48252
496	51016	48142
497	51101	48022
498	51202	47919
499	51296	47808
500	51399	47706
501	51505	47606
502	51608	47504
503	51723	47413
504	51830	47314
505	51923	47203
506	52040	47113
507	52116	46987
508	52205	46872
509	52359	46815
510	52446	46699
511	52548	46596
512	52657	46498
513	52784	46417
514	52895	46321
515	53001	46222
516	53119	46132
517	53224	46032
518	53319	45922
519	53406	45806
520	53521	45713
521	53652	45635
522	53766	45542
523	53897	45463
524	54013	45371
525	54126	45276
526	54231	45176
527	54312	45054
528	54400	44939
529	54508	44840
530	54604	44732
531	54710	44632
532	54821	44535
533	54943	44448
534	55061	44358
535	55191	44276
536	55298	44176
537	55385	44061
538	55483	43954
539	55583	43848
540	55667	43731
541	55792	43646
542	55897	43544
543	56007	43446
544	56112	43345
545	56212	43240
546	56310	43133
547	56406	43025
548	56508	42921
549	56602	42811
550	56708	42711
551	56810	42607
552	56906	42499
553	57028	42410
554	57115	42296
555	57215	42191
556	57319	42088
557	57414	41980
558	57503	41867
559	57602	41761
560	57705	41658
561	57802	41551
562	57911	41453
563	58009	41347
564	58093	41230
565	58196	41128
566	58302	41027
567	58396	40918
568	58509	40822
569	58590	40704
570	58682	40594
571	58780	40488
572	58861	40370
573	58961	40266
574	59062	40162
575	59153	40051
576	59245	39941
577	59358	39846
578	59442	39731
579	59540	39624
580	59620	39507
581	59733	39411
582	59826	39302
583	59914	39190
584	60023	39092
585	60121	38986
586	60210	38875
587	60308	38769
588	60409	38666
589	60501	38557
590	60615	38461
591	60718	38359
592	60833	38264
593	60929	38158
594	61041	38061
595	61146	37960
596	61264	37866
597	61377	37770
598	61467	37660
599	61573	37559
600	61672	37455
601	61787	37359
602	61894	37259
603	62015	37167
604	62118	37065
605	62211	36957
606	62289	36839
607	62379	36729
608	62496	36635
609	62632	36552
610	62755	36461
611	62850	36354
612	62938	36243
613	63032	36135
614	63146	36039
615	63248	35936
616	63348	35832
617	63471	35741
618	63565	35633
619	63682	35538
620	63793	35440
621	63879	35329
622	63985	35227
623	64072	35116
624	64192	35023
625	64301	34923
626	64410	34824
627	64512	34721
628	64613	34618
629	64738	34527
630	64847	34428
631	64937	34318
632	65035	34212
633	65142	34112
634	65260	34017
635	65379	33923
636	65479	33819
637	65595	33722
638	65686	33614
639	65806	33520
640	65925	33425
641	66044	33330
642	66155	33232
643	66260	33130
644	66385	33038
645	66479	32931
646	66592	32832
647	66692	32728
648	66801	32628
649	66901	32524
650	67000	32419
651	67114	32321
652	67217	32219
653	67323	32117
654	67414	32008
655	67504	31899
656	67600	31794
657	67708	31693
658	67839	31603
659	67928	31494
660	68009	31381
661	68086	31266
662	68163	31151
663	68247	31040
664	68330	30928
665	68429	30823
666	68531	30720
667	68649	30625
668	68777	30533
669	68865	30424
670	68972	30323
671	69102	30232
672	69210	30131
673	69319	30031
674	69424	29929
675	69524	29825
676	69628	29723
677	69735	29622
678	69839	29519
679	69970	29428
680	70088	29332
681	70197	29231
682	70303	29130
683	70414	29030
684	70507	28923
685	70590	28812
686	70672	28701
687	70762	28593
688	70848	28483
689	70954	28381
690	71079	28287
691	71164	28177
692	71272	28076
693	71360	27968
694	71441	27856
695	71525	27747
696	71614	27638
697	71705	27531
698	71811	27430
699	71908	27325
700	72017	27224
701	72133	27127
702	72245	27027
703	72366	26931
704	72485	26835
705	72583	26730
706	72676	26624
707	72760	26514
708	72874	26415
709	72969	26310
710	73071	26207
711	73160	26099
712	73261	25996
713	73376	25897
714	73461	25788
715	73579	25691
716	73684	25589
717	73787	25486
718	73909	25390
719	74026	25292
720	74133	25191
721	74248	25092
722	74363	24993
723	74471	24892
724	74585	24793
725	74670	24684
726	74765	24579
727	74872	24477
728	74962	24370
729	75060	24266
730	75162	24163
731	75278	24064
732	75409	23970
733	75535	23874
734	75641	23772
735	75728	23665
736	75837	23564
737	75934	23459
738	76053	23361
739	76178	23265
740	76269	23158
741	76371	23055
742	76460	22948
743	76572	22848
744	76705	22754
745	76814	22653
746	76914	22549
747	77002	22442
748	77092	22335
749	77192	22231
750	77289	22126
751	77411	22029
752	77513	21926
753	77613	21822
754	77717	21719
755	77824	21617
756	77924	21514
757	78034	21413
758	78123	21306
759	78209	21198
760	78337	21102
761	78471	21008
762	78569	20903
763	78663	20798
764	78774	20697
765	78863	20590
766	78945	20482
767	79056	20381
768	79144	20274
769	79237	20169
770	79334	20065
771	79453	19966
772	79566	19866
773	79688	19767
774	79774	19660
775	79870	19555
776	79960	19449
777	80033	19339
778	80137	19237
779	80234	19132
780	80319	19025
781	80416	18921
782	80537	18822
783	80643	18720
784	80735	18615
785	80845	18514
786	80952	18412
787	81059	18310
788	81169	18209
789	81261	18103
790	81346	17997
791	81450	17894
792	81565	17794
793	81671	17692
794	81769	17588
795	81876	17486
796	81998	17387
797	82109	17286
798	82215	17184
799	82319	17081
800	82412	16976
801	82513	16873
802	82636	16774
803	82724	16668
804	82798	16559
805	82899	16456
806	83007	16354
807	83094	16248
808	83210	16148
809	83317	16046
810	83426	15944
811	83522	15840
812	83611	15734
813	83703	15630
814	83801	15526
815	83900	15422
816	83993	15318
817	84107	15217
818	84218	15116
819	84304	15010
820	84409	14907
821	84517	14805
822	84637	14706
823	84745	14604
824	84871	14505
825	84988	14404
826	85121	14306
827	85218	14203
828	85303	14097
829	85406	13994
830	85520	13893
831	85593	13785
832	85688	13681
833	85788	13577
834	85885	13474
835	85985	13370
836	86094	13268
837	86210	13168
838	86323	13066
839	86439	12965
840	86548	12863
841	86633	12758
842	86721	12653
843	86808	12548
844	86910	12445
845	87006	12341
846	87121	12240
847	87236	12139
848	87356	12038
849	87447	11934
850	87543	11830
851	87656	11728
852	87774	11627
853	87885	11525
854	87990	11423
855	88106	11322
856	88204	11218
857	88320	11117
858	88437	11016
859	88551	10914
860	88660	10812
861	88758	10708
862	88845	10603
863	88927	10498
864	89022	10394
865	89096	10288
866	89221	10187
867	89342	10087
868	89439	9983
869	89539	9880
870	89637	9776
871	89743	9674
872	89857	9572
873	89947	9468
874	90066	9366
875	90167	9263
876	90294	9163
877	90380	9058
878	90493	8956
879	90583	8852
880	90672	8748
881	90786	8646
882	90932	8547
883	91023	8443
884	91129	8340
885	91248	8239
886	91345	8135
887	91439	8031
888	91532	7928
889	91648	7826
890	91762	7724
891	91882	7622
892	91990	7519
893	92093	7416
894	92182	7312
895	92286	7209
896	92389	7106
897	92489	7003
898	92613	6902
899	92714	6799
900	92807	6695
901	92924	6593
902	93018	6489
903	93105	6385
904	93205	6282
905	93291	6178
906	93396	6075
907	93499	5972
908	93620	5870
909	93726	5767
910	93842	5665
911	93957	5563
912	94055	5459
913	94158	5356
914	94257	5253
915	94350	5150
916	94452	5047
917	94573	4945
918	94683	4842
919	94788	4739
920	94889	4636
921	94997	4533
922	95085	4429
923	95183	4326
924	95281	4223
925	95385	4120
926	95471	4016
927	95564	3913
928	95690	3811
929	95809	3708
930	95903	3605
931	96007	3502
932	96107	3399
933	96216	3296
934	96317	3193
935	96424	3090
936	96508	2986
937	96622	2884
938	96721	2781
939	96827	2678
940	96968	2576
941	97079	2473
942	97194	2370
943	97301	2267
944	97434	2165
945	97538	2062
946	97633	1958
947	97751	1856
948	97860	1753
949	97929	1649
950	98028	1546
951	98128	1443
952	98236	1340
953	98325	1236
954	98405	1133
955	98488	1030
956	98576	927
957	98658	823
958	98770	720
959	98882	618
960	99013	515
961	99143	412
962	99243	309
963	99328	206
964	99423	103
965	99529	0
