Price (€),Not Full Market Price,Is_Second_Hand,county_clean,area_code_clean,is_apartment_text,has_estate_term,has_rural_term,has_house_number,address_token_count,county_trailing_6m_median_log_price,county_trailing_12m_median_log_price,area_trailing_6m_median_log_price,area_trailing_12m_median_log_price,County_New_Dwellings,Area_New_Dwellings,Mortgage Interest Rate,Population,log_price,sale_year,sale_month
268722.46,No,0,Kildare,UNKNOWN,0,1,0,1,6,12.31313534661642,12.31313534661642,,,149.0,,100.3,,12.501438100059191,2016,7
340000.0,No,1,Clare,UNKNOWN,0,0,1,0,5,11.613617971804342,11.637340178285932,,,28.0,,100.3,,12.73670383776449,2016,8
246000.0,No,1,Donegal,UNKNOWN,0,0,0,0,3,11.28426549003024,11.377770213857161,,,59.0,,100.3,,12.413090879946887,2016,8
100000.0,No,1,Wexford,UNKNOWN,0,0,1,1,7,11.916725003870745,,,,34.0,,101.6,,11.51293546492023,2016,5
278000.0,No,0,Dublin,UNKNOWN,0,0,0,1,6,12.568035549985925,,,,790.0,,101.6,,12.535379989788607,2016,5
240000.0,No,1,Meath,UNKNOWN,0,0,0,0,4,12.263408632379306,12.206077645517674,,,127.0,,100.3,,12.388398368982115,2016,10
405000.0,No,1,Cork,UNKNOWN,0,0,1,1,7,,,,,,,103.5,,12.91164481522143,2016,1
92000.0,No,1,Offaly,UNKNOWN,0,1,0,1,5,,,,,,,103.5,,11.429554725537322,2016,1
58000.0,No,1,Longford,N39,0,0,0,0,4,11.225256725762893,,11.206233393682755,,16.0,16.0,100.3,,10.968215530759236,2016,7
331000.0,No,0,Wicklow,A63,0,1,0,1,11,12.384191243196804,12.451597135962292,12.734983341999495,12.627675835305006,74.0,43.0,99.9,,12.709876675502672,2016,9
670000.0,No,1,Dublin,D04,0,0,0,1,5,12.624702772371506,12.612373031720743,13.149452897879971,13.084974765901816,841.0,38.0,99.9,,13.415034483903348,2016,11
530000.0,No,1,Dublin,UNKNOWN,0,0,0,1,7,,,,,,,103.4,,13.180634172318978,2016,2
150000.0,No,1,Dublin,D07,0,0,0,1,6,,,,,,,103.4,,11.918397239722838,2016,2
150000.0,No,1,Cork,UNKNOWN,0,0,0,0,3,12.075456673029816,,,,205.0,,101.2,,11.918397239722838,2016,6
230000.0,No,1,Dublin,D12,0,1,0,1,6,,,,,,,103.5,,12.345838935721968,2016,1
70000.0,No,1,Mayo,F23,0,0,1,0,4,11.413250507455034,11.441260421721001,11.289794413577894,11.162350103253655,54.0,11.0,99.9,,11.156264806643742,2016,9
335000.0,No,1,Wicklow,A98,0,1,1,1,7,,,,,,,103.5,,12.721888795877375,2016,1
167500.0,No,1,Laois,R32,0,0,1,0,6,11.677106709994494,11.677106709994494,11.7952585641282,11.7952585641282,26.0,26.0,99.9,,12.02874460037869,2016,9
114537.44,No,0,Tipperary,E45,0,1,0,1,6,11.350393407895277,11.399849683468291,11.691771183572408,11.698075685358907,43.0,9.0,99.9,,11.648665766158924,2016,11
505000.0,No,1,Galway,H91,0,1,0,1,5,11.84634267444337,11.84634267444337,11.956195498570565,11.956195498570565,145.0,102.0,100.3,,13.132315688453556,2016,7
226000.0,No,1,Kildare,W91,0,0,0,1,5,12.427709596131676,12.38092320909746,12.633089464754914,12.496834910111751,149.0,71.0,99.9,,12.328294703023394,2016,11
82000.0,No,1,Kildare,R14,0,0,1,1,5,,,,,,,103.4,,11.314486721293981,2016,2
120000.0,No,0,Sligo,UNKNOWN,0,0,0,1,5,,,,,,,102.9,,11.695255355062795,2016,3
200000.0,Yes,1,Dublin,D14,0,0,0,1,6,12.673038621885155,12.613204976475373,13.063180533873773,13.07107218827772,841.0,64.0,100.0,,12.206077645517674,2016,12
135000.0,No,1,Dublin,UNKNOWN,0,1,0,1,6,12.624702772371506,12.612373031720743,,,841.0,,99.9,,11.813037464800539,2016,11
65000.0,No,1,Kildare,UNKNOWN,0,0,0,1,5,,,,,,,103.4,,11.082157933374816,2016,2
243000.0,No,1,Dublin,D12,0,0,1,1,6,12.575010636294163,12.575010636294163,12.300353253657498,,843.0,3.0,100.3,,12.400820837540556,2016,7
57500.0,No,1,Sligo,UNKNOWN,1,0,0,1,8,11.051572160101138,11.051572160101138,,,5.0,,100.3,,10.959557617938563,2016,7
705000.0,No,1,Dublin,D18,0,1,0,1,8,12.624702772371506,12.612373031720743,13.05110396731148,13.021194879032207,841.0,67.0,99.9,,13.465954500233115,2016,11
165000.0,No,1,Kildare,UNKNOWN,0,0,1,1,6,,,,,,,103.4,,12.013706813470414,2016,2
431000.0,No,1,Wicklow,A98,0,1,1,1,6,12.530710149989005,12.468440756144114,12.689956894439039,12.682195280899386,78.0,17.0,100.0,,12.973865689268807,2016,12
900000.0,No,1,Galway,H91,0,0,0,1,4,11.984403920281805,11.93415050167713,12.097523130130806,12.095131066324221,140.0,94.0,100.3,,13.710151153416941,2016,10
620000.0,No,1,Dublin,D16,0,0,0,1,6,12.568035549985925,,12.685410698175234,,790.0,17.0,101.6,,13.3374763699232,2016,5
320000.0,No,1,Dublin,D04,0,1,0,1,6,12.624702772371506,12.612373031720743,13.149452897879971,13.084974765901816,841.0,38.0,99.9,,12.676079399771027,2016,11
120000.0,No,1,Galway,H91,0,0,0,1,6,11.825581052676661,,11.993993757418293,,97.0,63.0,101.2,,11.695255355062795,2016,6
230000.0,No,1,Dublin,A94,0,0,0,1,6,,,,,,,103.5,,12.345838935721968,2016,1
492000.0,No,1,Dublin,UNKNOWN,0,1,0,1,5,12.612373031720743,12.611541086966115,,,841.0,,100.3,,13.106236027992704,2016,10
338000.0,No,1,Wicklow,UNKNOWN,0,0,0,0,6,12.451597135962292,12.456835254920371,,,78.0,,100.3,,12.73080413304066,2016,10
190000.0,No,1,Cork,P17,0,0,0,1,6,12.11512064365824,12.154784614286667,12.694533498840674,,237.0,3.0,100.3,,12.154784614286667,2016,8
218000.0,No,1,Wexford,Y25,0,0,0,0,4,11.806413884664924,11.876291557816337,12.056707084375837,11.886122610346145,45.0,22.0,99.9,,12.292254928916668,2016,11
65000.0,No,1,Kerry,V93,0,0,0,1,8,11.57297818392632,11.57297818392632,12.212802296087542,12.212802296087542,61.0,22.0,100.3,,11.082157933374816,2016,7
55000.0,No,1,Mayo,F12,0,1,0,1,6,11.479524509868956,11.442155318676244,11.701589706451404,11.561514408540486,72.0,12.0,100.3,,10.915106645867503,2016,10
214000.0,No,0,Meath,UNKNOWN,0,1,0,1,4,12.19602736016897,,,,60.0,,101.2,,12.273735966890268,2016,6
500000.0,No,1,Wexford,UNKNOWN,0,0,1,0,4,,,,,,,103.4,,13.122365377402328,2016,2
270000.0,No,1,Dublin,UNKNOWN,0,0,0,1,7,12.673038621885155,12.613204976475373,,,841.0,,100.0,,12.506180941677357,2016,12
290000.0,Yes,1,Dublin,K78,0,0,1,1,5,12.594590368599345,12.577639650232573,12.380642519579098,12.333034735358723,843.0,1.0,100.3,,12.577639650232573,2016,8
347000.0,No,1,Laois,UNKNOWN,0,0,0,0,4,11.677106709994494,11.657294162958713,,,21.0,,100.3,,12.757082940769225,2016,10
45000.0,No,1,Cork,UNKNOWN,0,0,1,1,6,12.075456673029816,,,,205.0,,101.2,,10.714439990727769,2016,6
2400000.0,No,1,Dublin,UNKNOWN,0,0,0,1,6,12.568035549985925,,,,790.0,,101.6,,14.690979711984754,2016,5
53000.0,No,1,Limerick,V94,0,0,0,1,5,,,,,,,102.9,,10.87806606028079,2016,3
76000.0,No,1,Cork,UNKNOWN,0,0,0,1,8,12.037642404558337,,,,205.0,,102.1,,11.23850177707664,2016,4
17500.0,Yes,1,Dublin,D16,0,1,0,1,7,12.673038621885155,12.613204976475373,12.75130259456002,12.706850963741102,841.0,27.0,100.0,,9.770013301136158,2016,12
125000.0,No,1,Kerry,V31,0,1,0,1,5,11.731174913087662,11.651750045352557,,,61.0,5.0,99.9,,11.736077016252437,2016,9
60000.0,No,1,Roscommon,UNKNOWN,0,0,0,1,6,11.204230581286929,11.280330528060379,,,12.0,,99.9,,11.002116507732017,2016,11
57500.0,No,1,Tipperary,UNKNOWN,0,0,0,1,7,,,,,,,103.5,,10.959557617938563,2016,1
180000.0,No,1,Galway,UNKNOWN,0,0,1,1,6,,,,,,,103.4,,12.100717685412471,2016,2
250000.0,No,1,Kildare,W12,0,0,0,1,5,12.414773544626566,12.38092320909746,12.356988054668296,12.294616890600292,149.0,17.0,99.9,,12.429220196836383,2016,9
120000.0,No,1,Meath,C15,0,0,1,1,8,12.19602736016897,,12.180759965737863,,60.0,20.0,101.2,,11.695255355062795,2016,6
15106.0,No,1,Sligo,UNKNOWN,0,1,1,0,6,11.06679557995998,,,,2.0,,101.6,,9.622913491543725,2016,5
254000.0,No,1,Dublin,D15,0,0,0,1,6,12.575010636294163,12.575010636294163,12.443070107151886,12.443070107151886,843.0,177.0,100.3,,12.445093483000798,2016,7
65000.0,No,1,Cavan,UNKNOWN,0,0,0,1,3,11.37571855521048,,,,2.0,,101.2,,11.082157933374816,2016,6
227000.0,No,1,Limerick,UNKNOWN,0,0,0,1,4,11.890523611588607,11.849404844423074,,,73.0,,100.3,,12.33270970174018,2016,10
56000.0,No,1,Limerick,V94,0,0,0,1,5,11.775297421715827,,11.608244735642321,,66.0,60.0,101.2,,10.933124826700707,2016,6
185000.0,No,1,Wicklow,UNKNOWN,0,0,1,1,8,12.389429362154884,12.456835254920371,,,74.0,,100.3,,12.128116509451258,2016,8
119000.0,No,1,Kerry,UNKNOWN,0,0,0,1,5,11.731174913087662,11.608244735642321,,,75.0,,100.3,,11.686887175419702,2016,10
65000.0,No,1,Cavan,UNKNOWN,0,1,0,1,6,,,,,,,102.9,,11.082157933374816,2016,3
188000.0,No,1,Dublin,D15,0,1,0,1,6,12.524530013005734,,12.486709708503582,,790.0,91.0,102.1,,12.144202560946876,2016,4
205000.0,No,1,Roscommon,UNKNOWN,0,0,1,1,6,11.204230581286929,11.280330528060379,,,12.0,,99.9,,12.230770136157428,2016,11
15000.0,Yes,1,Louth,A92,0,0,0,1,5,11.915205496226712,,11.845820625377314,,22.0,34.0,102.1,,9.61587214452889,2016,4
270000.0,No,1,Kildare,W91,0,1,0,1,7,12.252822644020034,,12.47858127209496,,124.0,65.0,101.2,,12.506180941677357,2016,6
650000.0,No,1,Dublin,D14,0,0,0,1,6,12.612373031720743,12.594590368599345,13.063180533873773,13.10662007688031,843.0,30.0,99.9,,13.384729180332174,2016,9
98750.0,No,1,Clare,UNKNOWN,0,0,0,0,5,11.637340178285932,,,,30.0,,102.1,,11.500356809294374,2016,4
324229.0,No,0,Dublin,UNKNOWN,0,0,1,1,5,12.575010636294163,12.575010636294163,,,843.0,,100.3,,12.6892084194745,2016,7
191000.0,No,1,Dublin,UNKNOWN,0,0,0,1,6,12.673038621885155,12.613204976475373,,,841.0,,100.0,,12.160033942617156,2016,12
253500.0,No,1,Louth,A92,0,0,0,1,5,,,,,,,103.5,,12.44312304677877,2016,1
189427.31,No,0,Monaghan,A81,0,0,1,1,6,11.093279948047066,,11.813037464800539,,9.0,2.0,101.2,,12.151765920581182,2016,6
245000.0,No,1,Clare,V95,0,0,1,1,6,11.613617971804342,11.613617971804342,11.748528322229689,11.748528322229689,28.0,25.0,100.3,,12.409017571151187,2016,7
50000.0,No,1,Kerry,UNKNOWN,0,0,0,1,5,11.731174913087662,11.651750045352557,,,61.0,,99.9,,10.819798284210286,2016,9
66000.0,No,1,Cavan,UNKNOWN,0,1,1,1,6,11.37571855521048,,,,2.0,,101.2,,11.097425172408931,2016,6
15000.0,No,1,Roscommon,F45,0,0,0,0,5,11.317497874043232,11.289794413577894,11.15815286942325,11.187746287100927,12.0,8.0,100.0,,9.61587214452889,2016,12
50000.0,No,1,Cavan,UNKNOWN,0,0,0,1,6,,,,,,,103.4,,10.819798284210286,2016,2
100000.0,No,1,Donegal,UNKNOWN,0,0,0,0,3,,,,,,,103.5,,11.51293546492023,2016,1
214000.0,No,0,Meath,UNKNOWN,0,1,0,1,4,12.194723082898369,,,,60.0,,101.6,,12.273735966890268,2016,5
120000.0,No,1,Donegal,UNKNOWN,0,1,0,1,7,11.381404551036017,11.381404551036017,,,59.0,,99.9,,11.695255355062795,2016,9
195000.0,No,1,Mayo,UNKNOWN,0,0,0,0,3,11.4804194068242,11.4804194068242,,,54.0,,100.3,,12.180759965737863,2016,7
352000.0,No,1,Sligo,UNKNOWN,0,0,0,0,7,11.042137220553418,11.082157933374816,,,5.0,,100.3,,12.77138929548529,2016,8
317500.0,No,1,Dublin,D03,0,0,1,1,6,12.624702772371506,12.612373031720743,12.790308425855333,12.732687688432614,841.0,24.0,99.9,,12.668236246916223,2016,11
46500.0,No,1,Westmeath,N37,0,0,0,1,6,11.608244735642321,,11.532737896139919,,26.0,8.0,101.2,,10.747229096720554,2016,6
362996.0,No,0,Meath,UNKNOWN,0,0,1,1,6,12.229579471693008,12.201052502843321,,,83.0,,99.9,,12.802149848750027,2016,9
442500.0,No,1,Meath,UNKNOWN,0,1,0,1,5,12.201052502843321,12.201052502843321,,,83.0,,100.3,,13.000198003314573,2016,7
288000.0,No,1,Kerry,UNKNOWN,0,0,0,0,3,11.57297818392632,11.57297818392632,,,61.0,,100.3,,12.570719231334277,2016,7
321000.0,No,1,Dublin,D07,0,0,1,1,7,12.568035549985925,,12.347155463979584,,790.0,7.0,101.6,,12.679199517372098,2016,5
91000.0,No,1,Longford,N39,0,1,0,1,5,11.430349318421507,11.266736607225337,11.48302902070073,11.364101518850884,14.0,14.0,100.0,,11.418625774449598,2016,12
344000.0,No,1,Dublin,D12,0,0,0,1,6,12.575010636294163,12.575010636294163,12.300353253657498,,843.0,3.0,100.3,,12.748399843328054,2016,7
85000.0,No,1,Cork,UNKNOWN,0,0,0,1,7,,,,,,,103.4,,11.350418300109132,2016,2
140000.0,No,1,Mayo,F31,0,0,0,1,5,11.479524509868956,11.442155318676244,,,72.0,0.0,100.3,,11.849404844423074,2016,10
17857.0,No,1,Cork,P24,0,1,0,0,3,,,,,,,102.9,,9.790206866077162,2016,3
100000.0,No,1,Dublin,UNKNOWN,0,0,1,1,6,12.568035549985925,,,,790.0,,101.6,,11.51293546492023,2016,5
89500.0,No,1,Tipperary,E91,0,1,0,1,5,11.504399236921458,11.399849683468291,11.487682914848733,11.549455856321948,34.0,6.0,99.9,,11.402005077384885,2016,9
854625.0,No,0,Dublin,UNKNOWN,0,1,0,1,4,12.673038621885155,12.613204976475373,,,841.0,,100.0,,13.658419225319257,2016,12
165000.0,No,1,Meath,C15,0,1,1,1,6,12.263408632379306,12.227631230556492,12.217734490693996,12.221263112517104,127.0,62.0,99.9,,12.013706813470414,2016,11
535000.0,No,1,Dublin,UNKNOWN,0,0,0,1,5,12.612373031720743,12.594590368599345,,,843.0,,99.9,,13.190023895035274,2016,9
195000.0,No,1,Dublin,D09,0,0,0,1,6,,,,,,,102.9,,12.180759965737863,2016,3
490000.0,No,1,Dublin,A94,0,0,0,1,5,12.568035549985925,,13.021797075232843,,790.0,6.0,101.6,,13.102162710901053,2016,5
53904.0,No,1,Waterford,X91,0,1,0,1,6,11.53911723114139,11.616591765439711,11.742910066180091,11.695255355062795,43.0,33.0,100.0,,10.894978516973218,2016,12
180000.0,No,1,Monaghan,UNKNOWN,0,0,1,0,4,10.373522431293592,,,,9.0,,101.6,,12.100717685412471,2016,5
215859.0,No,0,Cork,UNKNOWN,0,1,0,1,8,12.056549538794076,,,,205.0,,101.6,,12.282385328379338,2016,5
119000.0,No,1,Galway,H65,0,0,0,1,7,,,,,,,103.5,,11.686887175419702,2016,1
249000.0,No,1,Wicklow,A63,0,1,0,1,5,12.530710149989005,12.468440756144114,12.80214017854895,12.676079399771027,78.0,33.0,100.0,,12.425212191503038,2016,12
275000.0,No,1,Dublin,UNKNOWN,1,1,0,1,8,12.612373031720743,12.594590368599345,,,843.0,,99.9,,12.524530013005734,2016,9
200000.0,No,1,Mayo,F28,0,0,0,1,6,11.413250507455034,11.441260421721001,,,54.0,15.0,99.9,,12.206077645517674,2016,9
320000.0,No,1,Westmeath,N91,0,0,0,1,5,11.608244735642321,,11.572381885829438,,26.0,18.0,101.2,,12.676079399771027,2016,6
155000.0,No,1,Limerick,V94,0,0,0,1,4,11.890523611588607,11.849404844423074,11.653824728838742,11.608244735642321,73.0,64.0,100.3,,11.951186847493476,2016,10
92000.0,No,1,Galway,H91,0,0,1,1,6,,,,,,,102.9,,11.429554725537322,2016,3
62500.0,No,1,Dublin,D10,0,0,0,1,8,12.568035549985925,,,,790.0,0.0,101.6,,11.042937835596494,2016,5
227000.0,No,1,Cork,UNKNOWN,0,0,0,1,7,12.11512064365824,12.11512064365824,,,237.0,,100.3,,12.33270970174018,2016,7
420000.0,No,1,Cork,UNKNOWN,0,1,1,1,6,12.176652739485096,12.154784614286667,,,260.0,,100.0,,12.948012371209098,2016,12
235000.0,No,1,Kerry,V93,0,0,0,1,5,11.537711632210318,,11.776642734470448,,37.0,21.0,102.1,,12.367345048436391,2016,4
260000.0,No,1,Dublin,D06,1,0,1,1,10,12.612373031720743,12.594590368599345,13.422349426050964,13.252254969017159,843.0,10.0,99.9,,12.468440756144114,2016,9
159000.0,No,1,Galway,H65,0,0,0,1,7,11.900627398943605,11.86710429621008,11.842236406331555,11.840665851939296,145.0,9.0,100.3,,11.976665770490767,2016,8
88000.0,No,1,Kerry,V92,0,0,1,0,4,11.749093384840148,11.608244735642321,11.705713938097952,11.675350859943467,75.0,19.0,100.0,,11.385103457032141,2016,12
100000.0,No,1,Dublin,UNKNOWN,0,0,1,1,7,12.673038621885155,12.613204976475373,,,841.0,,100.0,,11.51293546492023,2016,12
90000.0,Yes,0,Kildare,UNKNOWN,0,1,0,1,6,12.427709596131676,12.388398368982115,,,149.0,,100.0,,11.407576060361786,2016,12
182000.0,No,1,Kerry,V93,0,1,1,1,5,11.57297818392632,11.57297818392632,12.212802296087542,12.212802296087542,61.0,22.0,100.3,,12.111767460549332,2016,7
500000.0,No,1,Dublin,D6W,0,0,0,1,6,12.575010636294163,12.575010636294163,12.987248097505933,,843.0,6.0,100.3,,13.122365377402328,2016,7
86800.0,No,1,Cork,UNKNOWN,0,1,0,1,5,,,,,,,102.9,,11.371373421319406,2016,3
126500.0,No,1,Dublin,UNKNOWN,0,0,0,1,7,12.612373031720743,12.611541086966115,,,841.0,,100.3,,11.748005492256807,2016,10
427000.0,No,1,Donegal,UNKNOWN,0,0,0,1,6,11.44898717656755,11.385038888214872,,,53.0,,100.3,,12.964541634128395,2016,10
300000.0,No,1,Dublin,D11,0,1,0,1,6,12.673038621885155,12.613204976475373,12.089902547963984,12.04355959836804,841.0,13.0,100.0,,12.611541086966115,2016,12
92000.0,No,1,Clare,UNKNOWN,0,0,0,1,7,11.774557240526487,11.735676702320873,,,44.0,,99.9,,11.429554725537322,2016,11
330396.0,No,0,Kildare,UNKNOWN,0,0,1,1,7,12.414773544626566,12.38092320909746,,,149.0,,99.9,,12.70805024068459,2016,9
227000.0,No,1,Louth,A92,0,0,0,0,3,11.929168447689717,11.913530085105295,11.913096630977034,11.89609868231965,51.0,57.0,99.9,,12.33270970174018,2016,9
653000.0,No,1,Dublin,D14,0,0,1,1,8,12.575010636294163,12.575010636294163,13.10662007688031,13.10662007688031,843.0,30.0,100.3,,13.389333939650964,2016,7
320000.0,No,1,Dublin,D17,0,0,0,1,6,12.575010636294163,12.575010636294163,11.631809583101642,,843.0,0.0,100.3,,12.676079399771027,2016,7
203000.0,No,1,Meath,A84,0,0,0,1,5,12.201052502843321,12.201052502843321,12.631146711225973,,83.0,20.0,100.3,,12.220966184120165,2016,7
154185.02,No,0,Laois,UNKNOWN,0,1,0,1,6,11.65378238737875,11.657294162958713,,,21.0,,100.0,,11.945915074522766,2016,12
177000.0,No,1,Waterford,UNKNOWN,0,0,0,0,4,11.53911723114139,11.616591765439711,,,43.0,,100.0,,12.083910661257521,2016,12
135000.0,No,1,Offaly,UNKNOWN,0,0,0,1,6,11.289320991665,11.289320991665,,,17.0,,100.3,,11.813037464800539,2016,7
90000.0,No,1,Cavan,UNKNOWN,0,0,1,1,5,11.363068427659805,11.363068427659805,,,8.0,,99.9,,11.407576060361786,2016,9
400000.0,No,1,Meath,A86,0,0,0,1,4,12.201052502843321,12.201052502843321,,,83.0,1.0,100.3,,12.899222326086994,2016,7
160000.0,No,1,Louth,A92,0,0,0,0,5,12.046788884363476,11.930843858811134,11.993294054232809,11.913096630977034,28.0,57.0,99.9,,11.982935344196433,2016,11
260000.0,No,1,Offaly,R42,0,0,1,0,5,11.497171162597715,11.35190177883812,11.848766347543485,,17.0,5.0,99.9,,12.468440756144114,2016,9
189427.0,No,0,Mayo,UNKNOWN,0,1,0,1,6,11.4804194068242,11.4804194068242,,,54.0,,100.3,,12.15176428407683,2016,7
47500.0,No,1,Waterford,X91,0,0,0,1,6,11.57182653830711,11.736077016252437,11.36409818466678,11.451060699493427,33.0,21.0,100.3,,10.768506042432708,2016,8
835000.0,No,1,Dublin,D04,0,0,1,1,6,,,,,,,103.5,,13.635188201437066,2016,1
392000.0,No,1,Dublin,UNKNOWN,0,0,0,1,5,12.612373031720743,12.594590368599345,,,843.0,,99.9,,12.879019669789754,2016,9
205000.0,No,1,Dublin,UNKNOWN,0,0,0,1,6,12.538480185622209,,,,790.0,,101.2,,12.230770136157428,2016,6
191629.6,No,0,Limerick,UNKNOWN,0,0,1,1,6,11.775297421715827,,,,66.0,,101.2,,12.163324839491402,2016,6
259912.0,No,0,Dublin,K78,0,0,0,1,4,12.568035549985925,,12.321309493964247,,790.0,18.0,101.6,,12.46810223861683,2016,5
295000.0,No,1,Dublin,D09,0,0,0,1,6,12.538480185622209,,12.512315983456501,,790.0,18.0,101.2,,12.59473402514672,2016,6
155000.0,No,1,Galway,H91,0,0,0,1,5,11.900627398943605,11.900627398943605,12.097523130130806,12.044562411871258,145.0,102.0,99.9,,11.951186847493476,2016,9
150000.0,No,1,Cavan,UNKNOWN,0,0,1,0,4,11.381007234621269,11.37571855521048,,,9.0,,100.3,,11.918397239722838,2016,10
128750.0,No,1,Donegal,UNKNOWN,0,0,0,0,3,11.190760766203319,,,,38.0,,101.2,,11.76563558548611,2016,6
