"Statistic Label","Month","Selected Sub Indices","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","2021 February","Mortgage Interest","Base Dec 2016=100","106.1"
"Consumer Price Index (Base Dec 2016=100)","2021 March","Mortgage Interest","Base Dec 2016=100","106.5"
"Consumer Price Index (Base Dec 2016=100)","2021 April","Mortgage Interest","Base Dec 2016=100","106.5"
"Consumer Price Index (Base Dec 2016=100)","2021 May","Mortgage Interest","Base Dec 2016=100","106.9"
"Consumer Price Index (Base Dec 2016=100)","2021 June","Mortgage Interest","Base Dec 2016=100","107.3"
"Consumer Price Index (Base Dec 2016=100)","2021 July","Mortgage Interest","Base Dec 2016=100","107.3"
"Consumer Price Index (Base Dec 2016=100)","2021 August","Mortgage Interest","Base Dec 2016=100","107.7"
"Consumer Price Index (Base Dec 2016=100)","2021 September","Mortgage Interest","Base Dec 2016=100","108.2"
"Consumer Price Index (Base Dec 2016=100)","2021 October","Mortgage Interest","Base Dec 2016=100","108.7"
"Consumer Price Index (Base Dec 2016=100)","2021 November","Mortgage Interest","Base Dec 2016=100","108.8"
"Consumer Price Index (Base Dec 2016=100)","2021 December","Mortgage Interest","Base Dec 2016=100","109.3"
"Consumer Price Index (Base Dec 2016=100)","2022 January","Mortgage Interest","Base Dec 2016=100","109.8"
"Consumer Price Index (Base Dec 2016=100)","2022 February","Mortgage Interest","Base Dec 2016=100","110.4"
"Consumer Price Index (Base Dec 2016=100)","2022 March","Mortgage Interest","Base Dec 2016=100","110.5"
"Consumer Price Index (Base Dec 2016=100)","2022 April","Mortgage Interest","Base Dec 2016=100","111.1"
"Consumer Price Index (Base Dec 2016=100)","2022 May","Mortgage Interest","Base Dec 2016=100","111.3"
"Consumer Price Index (Base Dec 2016=100)","2022 June","Mortgage Interest","Base Dec 2016=100","111.8"
"Consumer Price Index (Base Dec 2016=100)","2022 July","Mortgage Interest","Base Dec 2016=100","112"
"Consumer Price Index (Base Dec 2016=100)","2022 August","Mortgage Interest","Base Dec 2016=100","113.5"
