"Statistic Label","Year","County","UNIT","VALUE"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Kildare","State=100","95.5388007209483"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Kilkenny","State=100","96.6328774811687"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Laois","State=100","82.7468583852842"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Leitrim","State=100","97.8110687553807"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Limerick","State=100","106.158664632651"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Longford","State=100","88.8266677366269"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Louth","State=100","89.7469683936559"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Mayo","State=100","96.7054222036952"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Meath","State=100","90.1329848852655"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Monaghan","State=100","95.8141662985859"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Offaly","State=100","88.0069847040019"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Roscommon","State=100","94.5716383377113"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Sligo","State=100","98.1706511624324"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Tipperary","State=100","106.080852435942"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Waterford","State=100","103.564941263786"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Westmeath","State=100","92.9000620685317"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Wexford","State=100","98.9381317365352"
"Index of Disposable Income per Person (excluding Rent)","2018","Co. Wicklow","State=100","95.5687404456657"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Carlow","State=100","106.212203935"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Cavan","State=100","91.8798688289105"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Clare","State=100","95.6334327852183"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Cork","State=100","105.825843630258"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Donegal","State=100","83.1624498611943"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Dublin","State=100","106.172102546283"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Galway","State=100","103.636783152812"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Kerry","State=100","94.5645696711287"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Kildare","State=100","94.9731130192072"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Kilkenny","State=100","94.299913892972"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Laois","State=100","85.4513974586404"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Leitrim","State=100","95.804833458887"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Limerick","State=100","105.138159104696"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Longford","State=100","87.322158104145"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Louth","State=100","90.1546757604677"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Mayo","State=100","97.3864725101828"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Meath","State=100","89.5200610907526"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Monaghan","State=100","92.9025591223054"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Offaly","State=100","84.2743382362582"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Roscommon","State=100","95.422736184682"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Sligo","State=100","98.3194034320075"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Tipperary","State=100","105.246100394801"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Waterford","State=100","102.632881409213"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Westmeath","State=100","97.4845681165894"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Wexford","State=100","97.8737373373128"
"Index of Disposable Income per Person (excluding Rent)","2019","Co. Wicklow","State=100","98.1332588045958"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Carlow","State=100","102.750156521936"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Cavan","State=100","93.0398911393863"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Clare","State=100","96.622726107344"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Cork","State=100","106.133132788608"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Donegal","State=100","84.8930782717224"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Dublin","State=100","105.595506522435"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Galway","State=100","108.341981182486"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Kerry","State=100","92.581820916282"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Kildare","State=100","94.4008862736676"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Kilkenny","State=100","93.3079157719677"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Laois","State=100","82.9564043202431"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Leitrim","State=100","99.0124314284446"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Limerick","State=100","107.009235556698"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Longford","State=100","90.5925320399055"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Louth","State=100","92.9151082129913"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Mayo","State=100","97.8077748247161"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Meath","State=100","87.7320514634313"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Monaghan","State=100","95.001714528909"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Offaly","State=100","87.4276667254422"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Roscommon","State=100","97.4877063455255"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Sligo","State=100","100.653763364207"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Tipperary","State=100","100.445666546553"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Waterford","State=100","103.255974715197"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Westmeath","State=100","93.2313043393661"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Wexford","State=100","95.9732444724981"
"Index of Disposable Income per Person (excluding Rent)","2020","Co. Wicklow","State=100","97.102306024202"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Carlow","State=100","106.817803291613"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Cavan","State=100","95.3468917767642"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Clare","State=100","93.0797725657237"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Cork","State=100","106.885336497025"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Donegal","State=100","85.2418316962807"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Dublin","State=100","105.10477717704"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Galway","State=100","101.245184897169"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Kerry","State=100","96.3250319096145"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Kildare","State=100","96.1585284826807"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Kilkenny","State=100","91.9115412390391"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Laois","State=100","83.4715196307253"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Leitrim","State=100","96.8612832624755"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Limerick","State=100","104.547563710652"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Longford","State=100","90.1959076097448"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Louth","State=100","93.5740387854493"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Mayo","State=100","96.9245666076669"
